id,name,department,influence_score
betty.moore.E0046@neosmith.com,Betty Moore,Risk & Compliance,0.53
dr..christopher.robertson.E0047@neosmith.com,Dr. Christopher Robertson,Finance,0.69
joseph.walker.E0048@neosmith.com,Joseph Walker,Finance,0.57
matthew.sullivan.E0049@neosmith.com,Matthew Sullivan,Finance,0.47
ryan.diaz.E0050@neosmith.com,Ryan Diaz,Finance,0.6
thomas.stewart.E0051@neosmith.com,Thomas Stewart,Finance,0.58
mary.stewart.E0052@neosmith.com,Mary Stewart,Finance,0.61
ellen.nicholson.E0053@neosmith.com,Ellen Nicholson,Finance,0.5
amanda.davis.E0054@neosmith.com,Amanda Davis,Finance,0.64
john.landry.E0055@neosmith.com,John Landry,Finance,0.51
michael.arroyo.E0056@neosmith.com,Michael Arroyo,R&D,0.65
alexander.williams.E0057@neosmith.com,Alexander Williams,R&D,0.69
ian.campbell.E0058@neosmith.com,Ian Campbell,R&D,0.58
gary.murray.E0059@neosmith.com,Gary Murray,R&D,0.46
kevin.garcia.E0060@neosmith.com,Kevin Garcia,R&D,0.52
andrew.parker.E0061@neosmith.com,Andrew Parker,R&D,0.61
yolanda.wagner.E0062@neosmith.com,Yolanda Wagner,R&D,0.45
lauren.watson.E0063@neosmith.com,Lauren Watson,R&D,0.44
matthew.howe.E0064@neosmith.com,Matthew Howe,R&D,0.63
matthew.myers.E0065@neosmith.com,Matthew Myers,People,0.68
karen.williams.E0066@neosmith.com,Karen Williams,People,0.64
robert.chambers.E0067@neosmith.com,Robert Chambers,People,0.65
leah.morton.E0068@neosmith.com,Leah Morton,People,0.48
erica.banks.E0069@neosmith.com,Erica Banks,People,0.42
carla.jones.E0070@neosmith.com,Carla Jones,People,0.55
michael.weiss.E0071@neosmith.com,Michael Weiss,People,0.6
paula.webb.E0072@neosmith.com,Paula Webb,People,0.51
melanie.mcgrath.E0073@neosmith.com,Melanie Mcgrath,People,0.49
shannon.cohen.E0074@neosmith.com,Shannon Cohen,Operations,0.85
steven.hart.E0075@neosmith.com,Steven Hart,Operations,0.61
timothy.francis.E0076@neosmith.com,Timothy Francis,Operations,0.54
kathleen.lewis.E0077@neosmith.com,Kathleen Lewis,Operations,0.48
robert.carlson.E0078@neosmith.com,Robert Carlson,Operations,0.42
jordan.humphrey.E0079@neosmith.com,Jordan Humphrey,Operations,0.58
heather.morales.E0080@neosmith.com,Heather Morales,Operations,0.48
robert.howard.E0081@neosmith.com,Robert Howard,Operations,0.42
jessica.cunningham.E0082@neosmith.com,Jessica Cunningham,Operations,0.62
jose.huynh.E0083@neosmith.com,Jose Huynh,Logistics,0.72
michael.rios.E0084@neosmith.com,Michael Rios,Logistics,0.64
james.nelson.E0085@neosmith.com,James Nelson,Logistics,0.62
lisa.thompson.E0086@neosmith.com,Lisa Thompson,Logistics,0.44
kyle.baird.E0087@neosmith.com,Kyle Baird,Logistics,0.43
marissa.ayala.E0088@neosmith.com,Marissa Ayala,Logistics,0.63
dr..amy.miller.dds.E0089@neosmith.com,Dr. Amy Miller DDS,Logistics,0.53
martha.carter.E0090@neosmith.com,Martha Carter,Logistics,0.58
joseph.brown.E0091@neosmith.com,Joseph Brown,Logistics,0.48
christopher.carson.E0092@neosmith.com,Christopher Carson,Engineering,0.33
jessica.bryan.E0093@neosmith.com,Jessica Bryan,IT,0.35
tonya.miller.E0094@neosmith.com,Tonya Miller,Risk & Compliance,0.41
mrs..krystal.hill.E0095@neosmith.com,Mrs. Krystal Hill,Finance,0.48
katherine.black.E0096@neosmith.com,Katherine Black,R&D,0.35
melinda.brooks.E0097@neosmith.com,Melinda Brooks,People,0.42
kayla.gonzalez.E0098@neosmith.com,Kayla Gonzalez,Operations,0.41
joanna.page.E0099@neosmith.com,Joanna Page,Logistics,0.42
taylor.griffin.E0100@neosmith.com,Taylor Griffin,Marketing,0.47
robert.freeman.E0101@neosmith.com,Robert Freeman,Sales,0.16
carolyn.brooks.E0102@neosmith.com,Carolyn Brooks,Engineering,0.37
stacey.barnett.E0103@neosmith.com,Stacey Barnett,IT,0.29
lee.holder.E0104@neosmith.com,Lee Holder,Risk & Compliance,0.86
michelle.pace.E0105@neosmith.com,Michelle Pace,Finance,0.41
sharon.horton.E0106@neosmith.com,Sharon Horton,R&D,0.5
rebecca.hernandez.E0107@neosmith.com,Rebecca Hernandez,People,0.57
amy.brown.E0108@neosmith.com,Amy Brown,Operations,0.41
michael.ramirez.E0109@neosmith.com,Michael Ramirez,Logistics,0.26
denise.robinson.E0110@neosmith.com,Denise Robinson,Marketing,0.47
natalie.deleon.E0111@neosmith.com,Natalie Deleon,Sales,0.4
adam.glenn.E0112@neosmith.com,Adam Glenn,Engineering,0.46
susan.evans.E0113@neosmith.com,Susan Evans,IT,0.26
gregg.miller.E0114@neosmith.com,Gregg Miller,Risk & Compliance,0.54
mindy.underwood.E0115@neosmith.com,Mindy Underwood,Finance,0.62
stephanie.day.E0116@neosmith.com,Stephanie Day,R&D,0.39
juan.campbell.E0117@neosmith.com,Juan Campbell,People,0.24
brenda.thomas.dds.E0118@neosmith.com,Brenda Thomas DDS,Operations,0.51
sabrina.miller.E0119@neosmith.com,Sabrina Miller,Logistics,0.59
alexandra.blankenship.E0120@neosmith.com,Alexandra Blankenship,Marketing,0.35
melissa.tapia.E0121@neosmith.com,Melissa Tapia,Sales,0.25
shawn.hernandez.E0122@neosmith.com,Shawn Hernandez,Engineering,0.49
melissa.ross.E0123@neosmith.com,Melissa Ross,IT,0.42
melissa.miller.E0124@neosmith.com,Melissa Miller,Risk & Compliance,0.47
paul.baker.E0125@neosmith.com,Paul Baker,Finance,0.43
matthew.howell.E0126@neosmith.com,Matthew Howell,R&D,0.19
melinda.davila.E0127@neosmith.com,Melinda Davila,People,0.47
lisa.shelton.E0128@neosmith.com,Lisa Shelton,Operations,0.32
eric.kramer.E0129@neosmith.com,Eric Kramer,Logistics,0.38
michael.reed.E0130@neosmith.com,Michael Reed,Marketing,0.56
bridget.ayala.E0131@neosmith.com,Bridget Ayala,Sales,0.55
katherine.walker.E0132@neosmith.com,Katherine Walker,Engineering,0.32
latoya.phillips.E0133@neosmith.com,Latoya Phillips,IT,0.29
robert.martin.E0134@neosmith.com,Robert Martin,Risk & Compliance,0.29
jennifer.payne.E0135@neosmith.com,Jennifer Payne,Finance,0.35
mrs..ashley.patrick.E0136@neosmith.com,Mrs. Ashley Patrick,R&D,0.43
chloe.schroeder.E0137@neosmith.com,Chloe Schroeder,People,0.25
kathleen.sanford.E0138@neosmith.com,Kathleen Sanford,Operations,0.4
keith.potter.E0139@neosmith.com,Keith Potter,Logistics,0.58
louis.wise.E0140@neosmith.com,Louis Wise,Marketing,0.31
kelly.lucas.E0141@neosmith.com,Kelly Lucas,Sales,0.38
alexander.martinez.E0142@neosmith.com,Alexander Martinez,Engineering,0.43
johnny.skinner.E0143@neosmith.com,Johnny Skinner,IT,0.3
matthew.edwards.E0144@neosmith.com,Matthew Edwards,Risk & Compliance,0.36
jamie.briggs.E0145@neosmith.com,Jamie Briggs,Finance,0.53
alicia.bryant.E0146@neosmith.com,Alicia Bryant,R&D,0.35
elijah.heath.phd.E0147@neosmith.com,Elijah Heath PhD,People,0.29
dennis.vargas.E0148@neosmith.com,Dennis Vargas,Operations,0.48
kristie.wilson.E0149@neosmith.com,Kristie Wilson,Logistics,0.87
travis.meadows.E0150@neosmith.com,Travis Meadows,Marketing,0.53
jaime.horn.E0151@neosmith.com,Jaime Horn,Sales,0.22
casey.kelly.E0152@neosmith.com,Casey Kelly,Engineering,0.45
angela.hood.E0153@neosmith.com,Angela Hood,IT,0.25
peter.meadows.E0154@neosmith.com,Peter Meadows,Risk & Compliance,0.83
ashley.lopez.E0155@neosmith.com,Ashley Lopez,Finance,0.3
lisa.larson.E0156@neosmith.com,Lisa Larson,R&D,0.5
chase.payne.E0157@neosmith.com,Chase Payne,People,0.36
jordan.rice.E0158@neosmith.com,Jordan Rice,Operations,0.42
nicholas.dudley.E0159@neosmith.com,Nicholas Dudley,Logistics,0.4
jonathan.clark.E0160@neosmith.com,Jonathan Clark,Marketing,0.14
leslie.wheeler.E0161@neosmith.com,Leslie Wheeler,Sales,0.41
daniel.daniels.E0162@neosmith.com,Daniel Daniels,Engineering,0.47
dr..keith.dixon.E0163@neosmith.com,Dr. Keith Dixon,IT,0.49
ashley.wells.E0164@neosmith.com,Ashley Wells,Risk & Compliance,0.62
glenn.haynes.E0165@neosmith.com,Glenn Haynes,Finance,0.27
lisa.shea.E0166@neosmith.com,Lisa Shea,R&D,0.29
chris.gray.E0167@neosmith.com,Chris Gray,People,0.44
cynthia.davis.E0168@neosmith.com,Cynthia Davis,Operations,0.35
stephanie.lewis.E0169@neosmith.com,Stephanie Lewis,Logistics,0.5
joel.robbins.E0170@neosmith.com,Joel Robbins,Marketing,0.48
katherine.brown.E0171@neosmith.com,Katherine Brown,Sales,0.85
mark.johnson.E0172@neosmith.com,Mark Johnson,Engineering,0.23
paula.campbell.E0173@neosmith.com,Paula Campbell,IT,0.47
tracy.roberts.E0174@neosmith.com,Tracy Roberts,Risk & Compliance,0.4
jonathan.elliott.E0175@neosmith.com,Jonathan Elliott,Finance,0.29
amy.johnson.E0176@neosmith.com,Amy Johnson,R&D,0.41
caleb.estrada.E0177@neosmith.com,Caleb Estrada,People,0.26
christopher.wallace.E0178@neosmith.com,Christopher Wallace,Operations,0.48
christopher.mccall.E0179@neosmith.com,Christopher Mccall,Logistics,0.88
samantha.horton.E0180@neosmith.com,Samantha Horton,Marketing,0.46
rachel.hall.E0181@neosmith.com,Rachel Hall,Sales,0.59
alexis.webb.E0182@neosmith.com,Alexis Webb,Engineering,0.41
matthew.lopez.E0183@neosmith.com,Matthew Lopez,IT,0.52
kathleen.ward.E0184@neosmith.com,Kathleen Ward,Risk & Compliance,0.21
mary.stewart.E0185@neosmith.com,Mary Stewart,Finance,0.58
nicole.meyer.E0186@neosmith.com,Nicole Meyer,R&D,0.23
gina.wells.E0187@neosmith.com,Gina Wells,People,0.21
dustin.hickman.E0188@neosmith.com,Dustin Hickman,Operations,0.42
joshua.lowery.E0189@neosmith.com,Joshua Lowery,Logistics,0.24
david.garcia.E0190@neosmith.com,David Garcia,Marketing,0.53
ashley.goodman.E0191@neosmith.com,Ashley Goodman,Sales,0.24
todd.fernandez.E0192@neosmith.com,Todd Fernandez,Engineering,0.32
debra.haley.E0193@neosmith.com,Debra Haley,IT,0.52
samantha.welch.E0194@neosmith.com,Samantha Welch,Risk & Compliance,0.4
brian.smith.E0195@neosmith.com,Brian Smith,Finance,0.44
samantha.todd.E0196@neosmith.com,Samantha Todd,R&D,0.5
jessica.ortega.E0197@neosmith.com,Jessica Ortega,People,0.54
alexander.thomas.E0198@neosmith.com,Alexander Thomas,Operations,0.32
dr..eddie.collins.E0199@neosmith.com,Dr. Eddie Collins,Logistics,0.4
sandra.becker.E0200@neosmith.com,Sandra Becker,Marketing,0.43
joseph.miller.E0201@neosmith.com,Joseph Miller,Sales,0.55
samantha.joseph.E0202@neosmith.com,Samantha Joseph,Engineering,0.27
john.burnett.E0203@neosmith.com,John Burnett,IT,0.48
megan.hendrix.E0204@neosmith.com,Megan Hendrix,Risk & Compliance,0.49
joseph.watson.E0205@neosmith.com,Joseph Watson,Finance,0.47
eric.werner.E0206@neosmith.com,Eric Werner,R&D,0.32
jennifer.hogan.E0207@neosmith.com,Jennifer Hogan,People,0.29
lawrence.duncan.E0208@neosmith.com,Lawrence Duncan,Operations,0.4
stanley.carter.E0209@neosmith.com,Stanley Carter,Logistics,0.34
jennifer.gordon.E0210@neosmith.com,Jennifer Gordon,Marketing,0.21
alan.lewis.E0211@neosmith.com,Alan Lewis,Sales,0.35
stephen.george.E0212@neosmith.com,Stephen George,Engineering,0.53
justin.henderson.E0213@neosmith.com,Justin Henderson,IT,0.35
bob.li.E0214@neosmith.com,Bob Li,Risk & Compliance,0.56
matthew.king.md.E0215@neosmith.com,Matthew King MD,Finance,0.36
melissa.lopez.E0216@neosmith.com,Melissa Lopez,R&D,0.29
alexis.cervantes.E0217@neosmith.com,Alexis Cervantes,People,0.46
rhonda.smith.E0218@neosmith.com,Rhonda Smith,Operations,0.34
brandon.burch.E0219@neosmith.com,Brandon Burch,Logistics,0.33
megan.woodard.E0220@neosmith.com,Megan Woodard,Marketing,0.46
christine.tyler.E0221@neosmith.com,Christine Tyler,Sales,0.5
elizabeth.hamilton.E0222@neosmith.com,Elizabeth Hamilton,Engineering,0.54
tami.walsh.E0223@neosmith.com,Tami Walsh,IT,0.38
rodney.chang.E0224@neosmith.com,Rodney Chang,Risk & Compliance,0.37
shelby.anderson.E0225@neosmith.com,Shelby Anderson,Finance,0.39
selena.white.E0226@neosmith.com,Selena White,R&D,0.38
tamara.davis.E0227@neosmith.com,Tamara Davis,People,0.27
devon.coleman.E0228@neosmith.com,Devon Coleman,Operations,0.44
sarah.garcia.E0229@neosmith.com,Sarah Garcia,Logistics,0.4
cheryl.davis.E0230@neosmith.com,Cheryl Davis,Marketing,0.3
matthew.lutz.E0231@neosmith.com,Matthew Lutz,Sales,0.41
jerry.brown.E0232@neosmith.com,Jerry Brown,Engineering,0.41
derek.stephens.E0233@neosmith.com,Derek Stephens,IT,0.27
christopher.watts.E0234@neosmith.com,Christopher Watts,Risk & Compliance,0.41
angelica.powers.E0235@neosmith.com,Angelica Powers,Finance,0.28
joshua.garcia.E0236@neosmith.com,Joshua Garcia,R&D,0.2
angela.bell.E0237@neosmith.com,Angela Bell,People,0.58
brooke.wilson.E0238@neosmith.com,Brooke Wilson,Operations,0.41
karen.hamilton.E0239@neosmith.com,Karen Hamilton,Logistics,0.5
gary.tapia.E0240@neosmith.com,Gary Tapia,Marketing,0.49
kathy.dawson.E0241@neosmith.com,Kathy Dawson,Sales,0.8
chelsea.mcdonald.E0242@neosmith.com,Chelsea Mcdonald,Engineering,0.3
sarah.james.E0243@neosmith.com,Sarah James,IT,0.28
laura.clark.E0244@neosmith.com,Laura Clark,Risk & Compliance,0.37
patricia.gonzalez.E0245@neosmith.com,Patricia Gonzalez,Finance,0.9
ashley.villarreal.E0246@neosmith.com,Ashley Villarreal,R&D,0.47
nicholas.knight.E0247@neosmith.com,Nicholas Knight,People,0.45
dr..john.frey.E0248@neosmith.com,Dr. John Frey,Operations,0.35
michael.mcfarland.E0249@neosmith.com,Michael Mcfarland,Logistics,0.44
stephen.lewis.E0250@neosmith.com,Stephen Lewis,Marketing,0.53
kathy.carter.E0251@neosmith.com,Kathy Carter,Sales,0.46
kimberly.hunt.E0252@neosmith.com,Kimberly Hunt,Engineering,0.31
vicki.smith.E0253@neosmith.com,Vicki Smith,IT,0.36
natasha.martin.E0254@neosmith.com,Natasha Martin,Risk & Compliance,0.41
john.maynard.E0255@neosmith.com,John Maynard,Finance,0.31
heather.bartlett.E0256@neosmith.com,Heather Bartlett,R&D,0.35
kara.wolf.E0257@neosmith.com,Kara Wolf,People,0.44
jeffrey.gonzalez.E0258@neosmith.com,Jeffrey Gonzalez,Operations,0.45
eric.matthews.E0259@neosmith.com,Eric Matthews,Logistics,0.36
victoria.brown.E0260@neosmith.com,Victoria Brown,Marketing,0.47
alexis.lin.E0261@neosmith.com,Alexis Lin,Sales,0.27
wendy.juarez.E0262@neosmith.com,Wendy Juarez,Engineering,0.46
stephen.clark.E0263@neosmith.com,Stephen Clark,IT,0.36
lauren.day.E0264@neosmith.com,Lauren Day,Risk & Compliance,0.27
brady.stafford.E0265@neosmith.com,Brady Stafford,Finance,0.79
susan.stone.E0266@neosmith.com,Susan Stone,R&D,0.37
allen.mills.E0267@neosmith.com,Allen Mills,People,0.45
louis.johnson.E0268@neosmith.com,Louis Johnson,Operations,0.46
richard.deleon.E0269@neosmith.com,Richard Deleon,Logistics,0.14
veronica.gay.E0270@neosmith.com,Veronica Gay,Marketing,0.45
eric.mendez.E0271@neosmith.com,Eric Mendez,Sales,0.42
shelia.stewart.E0272@neosmith.com,Shelia Stewart,Engineering,0.42
claudia.romero.E0273@neosmith.com,Claudia Romero,IT,0.41
keith.brown.E0274@neosmith.com,Keith Brown,Risk & Compliance,0.43
darren.kim.E0275@neosmith.com,Darren Kim,Finance,0.47
melinda.klein.E0276@neosmith.com,Melinda Klein,R&D,0.33
desiree.parker.E0277@neosmith.com,Desiree Parker,People,0.36
steve.kent.E0278@neosmith.com,Steve Kent,Operations,0.37
jo.gonzalez.E0279@neosmith.com,Jo Gonzalez,Logistics,0.37
joshua.barnes.E0280@neosmith.com,Joshua Barnes,Marketing,0.24
cathy.gill.E0281@neosmith.com,Cathy Gill,Sales,0.4
james.thomas.E0282@neosmith.com,James Thomas,Engineering,0.52
alexandra.foster.E0283@neosmith.com,Alexandra Foster,IT,0.62
john.wright.E0284@neosmith.com,John Wright,Risk & Compliance,0.25
thomas.fuller.E0285@neosmith.com,Thomas Fuller,Finance,0.35
kristin.reyes.E0286@neosmith.com,Kristin Reyes,R&D,0.7
sabrina.moore.E0287@neosmith.com,Sabrina Moore,People,0.52
jessica.perez.E0288@neosmith.com,Jessica Perez,Operations,0.24
megan.weaver.E0289@neosmith.com,Megan Weaver,Logistics,0.46
adriana.newman.E0290@neosmith.com,Adriana Newman,Marketing,0.62
jennifer.davis.E0291@neosmith.com,Jennifer Davis,Sales,0.53
cynthia.marshall.E0292@neosmith.com,Cynthia Marshall,Engineering,0.44
frederick.reyes.E0293@neosmith.com,Frederick Reyes,IT,0.51
timothy.hampton.E0294@neosmith.com,Timothy Hampton,Risk & Compliance,0.47
rachel.gonzalez.E0295@neosmith.com,Rachel Gonzalez,Finance,0.46
april.miller.E0296@neosmith.com,April Miller,R&D,0.66
eddie.boone.E0297@neosmith.com,Eddie Boone,People,0.37
howard.kirby.E0298@neosmith.com,Howard Kirby,Operations,0.28
mark.french.E0299@neosmith.com,Mark French,Logistics,0.42
barbara.zuniga.E0300@neosmith.com,Barbara Zuniga,Marketing,0.49
micheal.cook.E0301@neosmith.com,Micheal Cook,Sales,0.39
natalie.ford.E0302@neosmith.com,Natalie Ford,Engineering,0.41
sarah.sanchez.E0303@neosmith.com,Sarah Sanchez,IT,0.1
jasmine.robertson.E0304@neosmith.com,Jasmine Robertson,Risk & Compliance,0.42
shari.scott.E0305@neosmith.com,Shari Scott,Finance,0.42
david.mills.E0306@neosmith.com,David Mills,R&D,0.26
bradley.jennings.md.E0307@neosmith.com,Bradley Jennings MD,People,0.25
brian.jensen.E0308@neosmith.com,Brian Jensen,Operations,0.27
christopher.johnson.E0309@neosmith.com,Christopher Johnson,Logistics,0.36
kyle.roberts.E0310@neosmith.com,Kyle Roberts,Marketing,0.35
tracy.mitchell.E0311@neosmith.com,Tracy Mitchell,Sales,0.51
natalie.alvarez.E0312@neosmith.com,Natalie Alvarez,Engineering,0.43
mrs..sarah.mendoza.E0313@neosmith.com,Mrs. Sarah Mendoza,IT,0.37
chris.hayden.E0314@neosmith.com,Chris Hayden,Risk & Compliance,0.22
phillip.green.E0315@neosmith.com,Phillip Green,Finance,0.35
jason.jordan.E0316@neosmith.com,Jason Jordan,R&D,0.56
eric.lopez.E0317@neosmith.com,Eric Lopez,People,0.37
christine.lindsey.E0318@neosmith.com,Christine Lindsey,Operations,0.61
jamie.daugherty.dds.E0319@neosmith.com,Jamie Daugherty DDS,Logistics,0.36
melissa.davenport.E0320@neosmith.com,Melissa Davenport,Marketing,0.38
michelle.williams.E0321@neosmith.com,Michelle Williams,Sales,0.41
arthur.pierce.E0322@neosmith.com,Arthur Pierce,Engineering,0.32
charlotte.greer.E0323@neosmith.com,Charlotte Greer,IT,0.87
peter.washington.E0324@neosmith.com,Peter Washington,Risk & Compliance,0.51
amber.brown.E0325@neosmith.com,Amber Brown,Finance,0.37
kaitlyn.novak.E0326@neosmith.com,Kaitlyn Novak,R&D,0.36
kelly.lucas.E0327@neosmith.com,Kelly Lucas,People,0.5
richard.williams.E0328@neosmith.com,Richard Williams,Operations,0.37
douglas.wood.E0329@neosmith.com,Douglas Wood,Logistics,0.13
angel.stewart.E0330@neosmith.com,Angel Stewart,Marketing,0.38
martha.wilcox.E0331@neosmith.com,Martha Wilcox,Sales,0.44
richard.beard.E0332@neosmith.com,Richard Beard,Engineering,0.47
danielle.wright.E0333@neosmith.com,Danielle Wright,IT,0.63
matthew.walker.E0334@neosmith.com,Matthew Walker,Risk & Compliance,0.26
tamara.ingram.E0335@neosmith.com,Tamara Ingram,Finance,0.3
donald.frey.E0336@neosmith.com,Donald Frey,R&D,0.26
thomas.contreras.E0337@neosmith.com,Thomas Contreras,People,0.37
william.sanders.E0338@neosmith.com,William Sanders,Operations,0.37
david.murphy.E0339@neosmith.com,David Murphy,Logistics,0.36
gordon.marshall.E0340@neosmith.com,Gordon Marshall,Marketing,0.47
timothy.bush.E0341@neosmith.com,Timothy Bush,Sales,0.43
jeffrey.decker.E0342@neosmith.com,Jeffrey Decker,Engineering,0.4
david.palmer.E0343@neosmith.com,David Palmer,IT,0.38
taylor.smith.E0344@neosmith.com,Taylor Smith,Risk & Compliance,0.34
nicole.lewis.E0345@neosmith.com,Nicole Lewis,Finance,0.29
roy.andersen.E0346@neosmith.com,Roy Andersen,R&D,0.43
sharon.marshall.E0347@neosmith.com,Sharon Marshall,People,0.32
lisa.brooks.E0348@neosmith.com,Lisa Brooks,Operations,0.88
joseph.valenzuela.E0349@neosmith.com,Joseph Valenzuela,Logistics,0.35
tonya.carter.E0350@neosmith.com,Tonya Carter,Marketing,0.12
elizabeth.ramirez.E0351@neosmith.com,Elizabeth Ramirez,Sales,0.34
eric.strong.E0352@neosmith.com,Eric Strong,Engineering,0.45
brian.soto.E0353@neosmith.com,Brian Soto,IT,0.46
jasmine.juarez.E0354@neosmith.com,Jasmine Juarez,Risk & Compliance,0.35
anthony.chan.E0355@neosmith.com,Anthony Chan,Finance,0.35
joshua.lee.E0356@neosmith.com,Joshua Lee,R&D,0.29
sarah.brown.E0357@neosmith.com,Sarah Brown,People,0.34
paul.foster.E0358@neosmith.com,Paul Foster,Operations,0.47
mrs..mary.sanchez.dds.E0359@neosmith.com,Mrs. Mary Sanchez DDS,Logistics,0.48
casey.klein.E0360@neosmith.com,Casey Klein,Marketing,0.29
james.thompson.E0361@neosmith.com,James Thompson,Sales,0.86
john.walker.E0362@neosmith.com,John Walker,Engineering,0.23
brandon.watkins.E0363@neosmith.com,Brandon Watkins,IT,0.4
wendy.ward.E0364@neosmith.com,Wendy Ward,Risk & Compliance,0.2
thomas.alexander.E0365@neosmith.com,Thomas Alexander,Finance,0.41
nicole.castro.E0366@neosmith.com,Nicole Castro,R&D,0.9
ryan.thomas.E0367@neosmith.com,Ryan Thomas,People,0.57
tanya.silva.E0368@neosmith.com,Tanya Silva,Operations,0.36
christina.stevens.E0369@neosmith.com,Christina Stevens,Logistics,0.28
jacob.mccoy.E0370@neosmith.com,Jacob Mccoy,Marketing,0.24
jeffrey.miller.E0371@neosmith.com,Jeffrey Miller,Sales,0.36
mark.miller.E0372@neosmith.com,Mark Miller,Engineering,0.38
bradley.freeman.dvm.E0373@neosmith.com,Bradley Freeman DVM,IT,0.37
jonathan.mccormick.E0374@neosmith.com,Jonathan Mccormick,Risk & Compliance,0.4
deborah.norton.E0375@neosmith.com,Deborah Norton,Finance,0.4
jessica.marsh.E0376@neosmith.com,Jessica Marsh,R&D,0.47
casey.williams.E0377@neosmith.com,Casey Williams,People,0.37
natalie.johnson.E0378@neosmith.com,Natalie Johnson,Operations,0.37
lisa.gardner.md.E0379@neosmith.com,Lisa Gardner MD,Logistics,0.45
patricia.myers.E0380@neosmith.com,Patricia Myers,Marketing,0.28
tyler.wright.E0381@neosmith.com,Tyler Wright,Sales,0.51
christopher.buck.E0382@neosmith.com,Christopher Buck,Engineering,0.44
devin.roberts.E0383@neosmith.com,Devin Roberts,IT,0.8
michael.elliott.E0384@neosmith.com,Michael Elliott,Risk & Compliance,0.54
brooke.jones.E0385@neosmith.com,Brooke Jones,Finance,0.41
heather.carter.E0386@neosmith.com,Heather Carter,R&D,0.31
jamie.kim.E0387@neosmith.com,Jamie Kim,People,0.52
joel.martinez.E0388@neosmith.com,Joel Martinez,Operations,0.85
stephen.gonzalez.E0389@neosmith.com,Stephen Gonzalez,Logistics,0.43
cole.stevens.E0390@neosmith.com,Cole Stevens,Marketing,0.4
dr..laura.vang.E0391@neosmith.com,Dr. Laura Vang,Sales,0.43
brian.robertson.E0392@neosmith.com,Brian Robertson,Engineering,0.83
larry.gonzalez.E0393@neosmith.com,Larry Gonzalez,IT,0.27
terrence.watson.E0394@neosmith.com,Terrence Watson,Risk & Compliance,0.34
